Nome do jogador,Posição do jogador,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Gabriel Alanís,Atacante,2,2,4,2,1.7,1.7,1.5,3.1,12,22,49,0.30,0.30,0.59,0.30,0.59,0.25,0.22,0.46,0.46,19,4,21.1,2.80,0.59,0.11,0.50,16.5,0,0,0.09,+0.3,+0.3,124,180,68.9,2311,555,50,66,75.8,54,73,74.0,17,25,68.0,1.5,+0.5,7,15,9,5,170,9,0,3,1,17,124,19,2.80,13,1,1,2,1,1,2,0.30,2,0,0,0,0,0,7,6,3,3,1,4,5,80.0,1,3,1,2,6,13,7,0,270,5,25,128,123,23,270,26,11,42.3,14,53.8,168,1021,390,7,2,195,9,26,8,16,33.3
Fernando Alarcón,Defensor,1,0,1,1,0.7,0.7,0.0,0.7,4,28,2,0.09,0.00,0.09,0.09,0.09,0.06,0.00,0.06,0.06,12,3,25.0,1.02,0.26,0.08,0.33,13.0,0,0,0.06,+0.3,+0.3,336,471,71.3,6888,3850,119,142,83.8,155,190,81.6,53,122,43.4,0.2,0.0,1,38,1,0,423,48,30,0,3,1,336,7,0.60,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,16,10,10,4,2,9,12,75.0,3,19,14,5,11,27,66,0,610,108,334,251,29,15,610,2,1,50.0,1,50.0,270,1280,737,3,0,298,6,32,42,31,57.5
William Alarcón,Meio-campista,2,1,3,2,1.4,1.4,0.8,2.2,17,76,46,0.15,0.08,0.23,0.15,0.23,0.11,0.06,0.17,0.17,22,4,18.2,1.70,0.31,0.09,0.50,23.4,5,0,0.06,+0.6,+0.6,470,572,82.2,8574,2470,215,232,92.7,177,211,83.9,71,110,64.5,1.9,+0.2,13,46,13,4,511,60,30,1,7,52,470,38,2.95,24,8,2,2,2,0,3,0.23,2,0,0,0,1,0,13,8,5,7,1,8,19,42.1,11,8,1,7,8,21,9,1,682,11,94,409,184,15,682,21,8,38.1,11,52.4,343,1560,758,10,0,459,9,65,4,15,21.1
Player,Outros,Gls,Ast,G+A,G-PK,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PKatt,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,Cmp,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Rec,Fld,Recov,Won,Lost,Won%
Gustavo Albarracín,Meio-campista,1,1,2,1,0.2,0.2,0.1,0.3,2,4,4,0.40,0.40,0.80,0.40,0.80,0.08,0.03,0.10,0.10,2,1,50.0,0.80,0.40,0.50,1.00,25.3,0,0,0.10,+0.8,+0.8,54,72,75.0,809,175,34,41,82.9,14,16,87.5,5,6,83.3,0.0,+0.9,1,4,0,0,71,0,0,0,1,1,54,4,1.60,3,0,0,0,0,1,1,0.40,1,0,0,0,0,0,4,4,1,1,2,3,5,60.0,2,5,0,5,2,6,4,0,99,6,18,53,29,3,99,6,3,50.0,3,50.0,42,185,73,3,0,55,3,8,4,4,50.0
Brian Alexis Leizza,Defensor,0,0,0,0,0.2,0.2,0.0,0.3,8,25,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,2,1,50.0,0.22,0.11,0.00,0.00,23.9,0,0,0.12,-0.2,-0.2,368,474,77.6,7527,2858,105,124,84.7,207,231,89.6,52,110,47.3,0.1,0.0,1,18,2,0,454,19,18,0,7,1,368,3,0.34,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,14,10,10,4,0,9,12,75.0,3,9,6,3,13,27,44,0,565,62,268,289,11,3,565,1,1,100.0,0,0.0,316,1760,1167,6,0,366,3,20,20,14,58.8
Brian Alexis Leizza,Defensor,0,0,0,0,0.0,0.0,0.2,0.2,2,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,72,90,80.0,1290,634,32,36,88.9,36,39,92.3,4,13,30.8,0.1,-0.2,1,5,0,0,72,18,7,0,1,1,72,2,0.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,3,33.3,2,6,5,1,1,2,10,0,113,18,53,56,4,1,113,0,0,0,0,0,42,182,134,0,0,52,0,7,0,1,0.0
Franco Alfonso,Atacante,0,0,0,0,0.1,0.1,0.1,0.2,7,5,23,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.13,6,0,0.0,3.60,0.00,0.00,0,26.8,0,0,0.01,-0.1,-0.1,57,76,75.0,954,290,31,33,93.9,19,26,73.1,6,9,66.7,0.2,-0.1,6,7,2,0,70,6,0,0,1,9,57,13,7.80,7,4,0,0,1,1,1,0.60,1,0,0,0,0,0,1,1,0,1,0,0,3,0.0,3,4,0,4,2,3,2,0,111,1,14,41,59,9,111,5,1,20.0,4,80.0,62,445,188,3,3,66,3,17,1,4,20.0
Rodrigo Aliendro,Meio-campista,0,0,0,0,0.2,0.2,0.8,1.0,3,28,17,0.00,0.00,0.00,0.00,0.00,0.05,0.18,0.23,0.23,5,0,0.0,1.11,0.00,0.00,0,23.7,0,0,0.04,-0.2,-0.2,211,259,81.5,3631,1208,109,118,92.4,83,96,86.5,15,24,62.5,0.2,-0.8,3,30,2,0,250,9,7,0,2,6,211,10,2.22,10,0,0,0,0,0,1,0.22,1,0,0,0,0,0,10,9,3,5,2,7,13,53.8,6,12,2,10,7,17,5,0,326,10,57,210,61,7,326,3,2,66.7,1,33.3,180,637,246,3,2,228,6,24,3,5,37.5
Agustín Almendra,Meio-campista,1,2,3,1,1.0,1.0,0.8,1.8,9,50,26,0.10,0.20,0.29,0.10,0.29,0.10,0.08,0.18,0.18,16,5,31.3,1.57,0.49,0.06,0.20,24.6,2,0,0.06,0.0,0.0,334,440,75.9,6699,1724,136,158,86.1,133,163,81.6,57,101,56.4,1.2,+1.2,14,50,9,4,386,50,18,4,11,28,334,36,3.53,25,5,1,2,2,1,5,0.49,3,1,1,0,0,0,40,25,11,27,2,19,29,65.5,10,18,1,17,11,51,6,0,561,5,80,347,146,10,561,19,8,42.1,10,52.6,283,1197,511,10,1,308,15,73,8,7,53.3
