Nome do jogador,Posição do jogador,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Matheus Alexandre,Defensor,0,0,0,0,0.2,0.2,0.4,0.6,18,68,51,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,4,1,25.0,0.22,0.05,0.0,0.0,22.9,0,0,0.05,-0.2,-0.2,693,893,77.6,11087,4236,361,400,90.3,280,358,78.2,40,86,46.5,0.5,-0.4,9,62,8,6,719,172,8,0,3,37,693,24,1.31,19,3,1,0,0,1,1,0.05,0,1,0,0,0,0,38,27,25,11,2,29,44,65.9,15,25,3,22,27,65,46,0,1073,43,371,516,191,11,1073,15,6,40.0,9,60.0,497,2414,1210,11,2,590,7,67,35,19,64.8
Alexsander,Meio-campista,0,1,1,0,0.4,0.4,0.9,1.3,15,36,24,0.0,0.11,0.11,0.0,0.11,0.04,0.1,0.15,0.15,13,3,23.1,1.48,0.34,0.0,0.0,23.1,0,0,0.03,-0.4,-0.4,392,457,85.8,5464,1587,230,249,92.4,120,135,88.9,17,26,65.4,0.4,0.1,7,37,8,2,437,19,10,0,5,7,392,26,2.96,20,0,3,1,1,1,1,0.11,1,0,0,0,0,0,24,12,9,9,6,11,29,37.9,18,13,3,10,9,33,9,0,598,32,140,326,136,16,598,40,18,45.0,20,50.0,335,1635,893,8,4,430,19,50,6,10,37.5
Alisson,Goleiro,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,64,105,61.0,1959,1472,10,10,100.0,27,28,96.4,27,66,40.9,0.0,0.0,0,1,0,0,56,48,8,0,0,0,64,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,110,101,110,0,0,0,110,0,0,0.0,0,0.0,42,184,137,0,0,32,1,5,0,0,0.0
Alisson,Defensor,0,0,0,0,1.2,1.2,0.3,1.4,20,23,62,0.0,0.0,0.0,0.0,0.0,0.22,0.05,0.27,0.27,18,4,22.2,3.38,0.75,0.0,0.0,20.6,0,0,0.06,-1.2,-1.2,155,213,72.8,3187,732,63,74,85.1,62,76,81.6,26,51,51.0,0.8,-0.3,8,12,7,2,195,18,2,0,13,26,155,17,3.19,7,4,2,0,3,1,0,0.0,0,0,0,0,0,0,11,9,4,2,5,3,8,37.5,5,3,0,3,2,13,4,0,293,7,35,115,146,25,293,33,14,42.4,14,42.4,201,1578,628,14,7,221,15,30,1,8,11.1
Alisson,Meio-campista,1,2,3,1,0.5,0.5,0.5,1.0,16,87,20,0.07,0.13,0.2,0.07,0.2,0.04,0.03,0.07,0.07,11,5,45.5,0.73,0.33,0.09,0.2,26.2,1,0,0.05,0.5,0.5,970,1083,89.6,18500,4755,361,387,93.3,469,506,92.7,119,145,82.1,0.8,1.5,13,97,6,3,1032,47,38,2,14,13,970,41,2.73,35,0,2,1,2,1,5,0.33,4,0,1,0,0,0,25,16,12,11,2,15,29,51.7,14,13,3,10,13,38,13,0,1196,55,255,766,179,2,1196,26,16,61.5,7,26.9,742,3373,1719,23,0,931,27,84,7,6,53.8
Allan,Meio-campista,0,0,0,0,0.2,0.2,0.5,0.7,14,66,10,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.05,8,3,37.5,0.59,0.22,0.0,0.0,30.8,0,0,0.02,-0.2,-0.2,648,738,87.8,11222,2796,310,333,93.1,273,302,90.4,55,78,70.5,0.5,-0.5,11,82,5,0,720,18,14,1,4,4,648,28,2.08,26,0,0,1,0,1,1,0.07,1,0,0,0,0,0,26,13,9,15,2,14,23,60.9,9,13,4,9,15,41,18,1,856,31,184,550,124,1,856,12,2,16.7,8,66.7,512,3213,1494,16,0,599,11,55,16,11,59.3
Allan,Meio-campista,0,1,1,0,0.0,0.0,0.2,0.2,2,12,4,0.0,0.35,0.35,0.0,0.35,0.01,0.06,0.06,0.06,1,0,0.0,0.35,0.0,0.0,0.0,27.2,0,0,0.02,0.0,0.0,142,167,85.0,2627,989,57,63,90.5,72,77,93.5,13,21,61.9,0.1,0.8,1,12,1,0,156,10,6,0,0,1,142,2,0.7,2,0,0,0,0,0,1,0.35,1,0,0,0,0,0,14,7,6,6,2,8,13,61.5,5,4,2,2,5,19,4,0,204,9,54,136,15,0,204,2,0,0.0,1,50.0,131,685,348,0,0,138,6,17,2,4,33.3
Allano,Atacante,0,1,1,0,1.2,1.2,1.7,2.9,51,48,109,0.0,0.09,0.09,0.0,0.09,0.11,0.15,0.27,0.27,26,6,23.1,2.42,0.56,0.0,0.0,17.9,0,0,0.05,-1.2,-1.2,310,380,81.6,4975,1207,161,192,83.9,114,132,86.4,23,30,76.7,2.3,-0.7,15,25,16,4,374,4,1,1,4,16,310,43,3.94,32,0,2,2,6,1,2,0.18,1,0,0,0,1,0,23,14,11,11,1,11,22,50.0,11,14,1,13,2,25,5,0,552,6,49,243,272,44,552,53,24,45.3,21,39.6,350,2605,1321,28,15,432,32,47,13,19,40.6
Thiago Almada,Atacante,1,0,1,1,1.7,0.9,0.8,1.7,20,49,36,0.18,0.0,0.18,0.18,0.18,0.3,0.14,0.44,0.3,15,4,26.7,2.66,0.71,0.07,0.25,22.2,2,1,0.06,-0.7,0.1,292,340,85.9,5254,1718,124,136,91.2,132,147,89.8,29,42,69.0,1.2,-0.8,18,32,24,3,314,25,7,1,5,22,292,35,6.2,23,7,1,3,1,0,2,0.35,1,0,0,1,0,0,1,0,1,0,0,0,11,0.0,11,4,0,4,2,3,1,0,393,1,34,210,155,18,392,20,11,55.0,9,45.0,245,1302,606,13,5,304,7,29,2,2,50.0
Júnior Alonso,Defensor,1,0,1,1,0.2,0.2,0.0,0.3,14,39,4,0.13,0.0,0.13,0.13,0.13,0.03,0.01,0.04,0.04,5,1,20.0,0.66,0.13,0.2,1.0,17.3,0,0,0.05,0.8,0.8,462,539,85.7,8784,2756,163,175,93.1,251,282,89.0,45,72,62.5,0.1,0.0,3,40,2,0,517,21,12,1,3,6,462,11,1.44,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,13,7,5,8,0,8,16,50.0,8,3,2,1,11,24,28,0,610,46,237,315,61,6,610,3,1,33.3,2,66.7,347,1716,1135,12,0,443,0,28,30,14,68.2
Anderson,Goleiro,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,331,390,84.9,7614,4577,67,68,98.5,194,196,99.0,66,122,54.1,0.0,0.0,0,4,0,0,261,129,19,0,3,0,331,1,0.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,3,418,366,418,0,0,0,418,0,0,0.0,0,0.0,206,845,514,0,0,172,2,16,3,0,100.0
Felipe Anderson,Atacante,2,1,3,2,1.5,1.5,2.3,3.8,32,27,66,0.26,0.13,0.39,0.26,0.39,0.19,0.3,0.5,0.5,14,4,28.6,1.84,0.52,0.14,0.5,18.5,0,0,0.1,0.5,0.5,262,357,73.4,3761,968,146,172,84.9,88,117,75.2,12,24,50.0,1.8,-1.3,17,13,11,2,327,29,2,2,3,22,262,32,4.19,23,5,2,0,2,0,4,0.52,3,0,0,0,1,0,19,11,8,7,4,9,20,45.0,11,16,3,13,5,24,11,0,460,13,77,187,204,27,460,27,15,55.6,11,40.7,223,1468,851,15,10,304,5,36,7,5,58.3
Kervin Andrade,Meio-campista,1,1,2,1,1.0,1.0,1.0,2.1,4,10,34,0.23,0.23,0.47,0.23,0.47,0.24,0.24,0.48,0.48,12,3,25.0,2.8,0.7,0.08,0.33,21.8,1,0,0.09,0.0,0.0,78,116,67.2,1394,455,39,48,81.3,22,38,57.9,14,19,73.7,0.3,0.0,12,9,3,1,107,9,0,0,0,14,78,25,5.8,14,4,1,2,3,1,2,0.46,2,0,0,0,0,0,1,1,1,0,0,1,3,33.3,2,6,0,6,3,4,2,0,174,1,18,73,87,9,174,14,2,14.3,7,50.0,98,411,193,5,0,114,8,28,1,8,11.1
Rodrigo Andrade,Meio-campista,0,0,0,0,0.3,0.3,0.2,0.5,6,15,12,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.11,2,0,0.0,0.47,0.0,0.0,0.0,21.0,0,0,0.13,-0.3,-0.3,148,181,81.8,2486,870,70,79,88.6,54,64,84.4,19,24,79.2,0.3,-0.2,3,13,0,0,165,13,10,0,0,4,148,8,1.87,5,2,0,0,0,1,0,0.0,0,0,0,0,0,0,6,5,4,1,1,4,5,80.0,1,8,3,5,3,9,3,0,221,11,62,127,36,6,221,6,1,16.7,3,50.0,132,858,451,6,1,136,4,34,4,4,50.0
André,Meio-campista,0,1,1,0,0.1,0.1,0.1,0.2,9,64,7,0.0,0.08,0.08,0.0,0.08,0.01,0.01,0.02,0.02,3,0,0.0,0.25,0.0,0.0,0.0,29.4,0,0,0.02,-0.1,-0.1,690,732,94.3,10882,3151,367,377,97.3,256,269,95.2,50,60,83.3,0.2,0.9,6,57,0,0,712,20,19,0,5,0,690,25,2.1,22,1,0,0,1,1,2,0.17,2,0,0,0,0,0,24,16,5,17,2,8,14,57.1,6,16,8,8,15,39,14,0,847,57,238,555,63,0,847,28,11,39.3,14,50.0,516,2317,1144,8,0,619,26,87,4,5,44.4
José Andrés Martínez,Meio-campista,0,0,0,0,0.0,0.0,0.1,0.1,3,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.04,1,0,0.0,0.31,0.0,0.0,0.0,33.2,0,0,0.01,0.0,0.0,142,169,84.0,2510,924,66,78,84.6,56,61,91.8,15,22,68.2,0.3,-0.1,3,15,2,0,167,1,1,0,2,1,142,8,2.47,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0,8,2,3,3,2,2,4,50.0,2,3,1,2,6,14,5,0,195,8,74,99,25,2,195,2,2,100.0,0,0.0,102,357,192,4,0,130,3,22,5,2,71.4
Wilker Ángel,Defensor,1,0,1,1,0.5,0.5,0.0,0.5,1,15,3,0.1,0.0,0.1,0.1,0.1,0.05,0.0,0.05,0.05,8,5,62.5,0.82,0.51,0.13,0.2,13.1,0,0,0.06,0.5,0.5,245,310,79.0,4952,1859,75,88,85.2,135,155,87.1,34,64,53.1,0.0,0.0,2,15,0,0,298,12,11,0,1,0,245,7,0.72,6,0,0,1,0,0,2,0.2,1,0,0,1,0,0,9,5,6,3,0,6,10,60.0,4,24,14,10,12,21,61,1,437,112,258,160,19,14,437,0,0,0.0,0,0.0,198,822,353,1,0,230,4,13,25,11,69.4
Anthoni,Goleiro,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,72,51.4,1254,988,4,4,100.0,18,18,100.0,15,50,30.0,0.0,0.0,0,0,0,0,39,33,7,0,0,0,37,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,80,69,76,4,0,0,80,0,0,0.0,0,0.0,26,156,50,0,0,26,0,2,0,0,0.0
Marcos Antônio,Meio-campista,0,0,0,0,0.0,0.0,0.1,0.1,6,19,6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,219,231,94.8,3771,782,95,98,96.9,101,104,97.1,18,21,85.7,0.3,-0.1,3,20,0,0,226,4,4,3,2,1,219,8,1.96,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,4,3,3,0,3,8,37.5,5,8,2,6,2,8,11,0,272,14,67,176,33,1,272,2,1,50.0,1,50.0,151,753,336,4,0,204,5,16,4,4,50.0
Guilherme Arana,Defensor,1,1,2,1,0.6,0.6,0.9,1.5,40,84,106,0.08,0.08,0.16,0.08,0.16,0.04,0.07,0.12,0.12,20,8,40.0,1.6,0.64,0.05,0.13,24.9,0,0,0.03,0.4,0.4,822,978,84.0,13681,3971,423,465,91.0,338,385,87.8,54,89,60.7,1.2,0.1,18,65,19,7,878,92,13,0,13,63,822,44,3.53,37,2,0,3,1,1,3,0.24,2,0,0,1,0,0,21,15,11,6,4,10,19,52.6,9,12,3,9,13,34,14,0,1095,23,257,491,352,31,1095,22,10,45.5,12,54.5,672,3430,1992,28,5,808,9,64,12,13,48.0
Charles Aránguiz,Meio-campista,0,0,0,0,0.4,0.4,0.1,0.5,1,9,10,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.16,0.16,3,2,66.7,0.94,0.63,0.0,0.0,16.6,0,0,0.15,-0.4,-0.4,131,166,78.9,1995,500,73,90,81.1,39,51,76.5,10,13,76.9,0.2,-0.1,3,9,1,0,159,7,3,0,1,2,131,6,1.88,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,5,0,5,1,3,8,37.5,5,4,1,3,1,7,4,0,196,4,26,130,41,7,196,4,1,25.0,3,75.0,115,428,145,3,0,133,3,12,1,5,16.7
Luiz Araújo,Atacante,3,5,8,3,2.1,2.1,4.6,6.7,52,70,119,0.18,0.3,0.48,0.18,0.48,0.13,0.27,0.4,0.4,45,16,35.6,2.69,0.96,0.07,0.19,21.5,1,0,0.05,0.9,0.9,456,630,72.4,8164,2127,216,249,86.7,156,206,75.7,62,102,60.8,4.1,0.4,33,34,19,5,559,69,21,0,17,86,456,65,3.89,40,13,5,3,2,2,9,0.54,4,3,1,0,1,0,36,24,14,15,7,12,27,44.4,15,24,3,21,20,56,14,0,852,12,106,351,415,50,852,62,37,59.7,21,33.9,507,3127,1640,36,16,552,29,77,5,18,21.7
Matheus Araújo,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,11,81.8,139,83,5,5,100.0,3,3,100.0,1,3,33.3,0.0,0.0,0,2,0,0,10,1,0,0,0,0,9,1,2.09,0,1,0,0,0,0,1,2.09,0,1,0,0,0,0,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,13,1,2,10,1,0,13,0,0,0.0,0,0.0,10,47,5,1,0,7,1,5,1,0,100.0
Michel Araujo,Defensor,0,1,1,0,1.2,1.2,1.7,2.8,22,44,47,0.0,0.11,0.11,0.0,0.11,0.13,0.18,0.31,0.31,13,3,23.1,1.43,0.33,0.0,0.0,17.8,0,0,0.09,-1.2,-1.2,427,501,85.2,6946,1928,226,247,91.5,161,183,88.0,34,53,64.2,1.0,-0.7,14,17,12,3,443,58,12,0,3,23,427,26,2.86,16,3,6,1,0,0,1,0.11,1,0,0,0,0,0,27,18,14,11,2,10,29,34.5,19,10,0,10,6,33,15,0,616,14,150,280,195,24,616,36,21,58.3,13,36.1,347,1903,889,29,3,404,14,59,13,12,52.0
