Nome do jogador,Posição do jogador,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Cássio,Goleiro,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,71,88,80.7,2099,1349,8,8,100.0,34,36,94.4,28,42,66.7,0.0,0.0,0,0,0,0,61,26,7,0,0,0,71,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,91,75,91,0,0,0,91,0,0,0.0,0,0.0,53,294,187,0,0,36,0,4,1,0,100.0
Iury de Castilho,Atacante,1,0,1,1,1.2,1.2,0.0,1.2,5,8,8,0.73,0.0,0.73,0.73,0.73,0.85,0.02,0.87,0.87,3,1,33.3,2.18,0.73,0.33,1.0,8.0,0,0,0.39,-0.2,-0.2,25,29,86.2,329,115,13,14,92.9,8,9,88.9,1,1,100.0,0.0,0.0,1,0,2,0,27,2,0,0,0,1,25,2,1.45,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,2,0,0,1,1,100.0,0,2,0,2,0,2,1,0,48,2,10,16,24,4,48,8,5,62.5,3,37.5,33,246,128,5,0,40,9,6,1,7,12.5
Erick Castillo,Atacante,1,0,1,1,0.7,0.7,0.0,0.8,5,2,18,0.33,0.0,0.33,0.33,0.33,0.24,0.01,0.25,0.25,3,1,33.3,0.99,0.33,0.33,1.0,11.3,0,0,0.24,0.3,0.3,37,50,74.0,512,118,17,22,77.3,16,19,84.2,1,2,50.0,0.1,0.0,1,2,0,0,47,2,0,0,0,4,37,3,0.99,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,0,2,0,0,2,4,50.0,2,4,0,4,0,2,4,0,91,4,15,25,51,15,91,15,5,33.3,10,66.7,52,354,102,4,5,63,2,5,5,8,38.5
Ivan Cavaleiro,Meio-campista,0,0,0,0,0.2,0.2,0.0,0.2,0,1,2,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.59,2,1,50.0,7.83,3.91,0.0,0.0,21.3,0,0,0.08,-0.2,-0.2,6,7,85.7,75,21,5,5,100.0,1,1,100.0,0,0,0.0,0.0,0.0,0,1,1,0,7,0,0,0,0,0,6,3,11.74,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,13,0,1,3,9,2,13,2,1,50.0,1,50.0,8,40,19,0,0,9,0,0,1,0,100.0
Murilo Cerqueira,Defensor,1,0,1,1,1.3,1.3,0.3,1.7,14,91,2,0.05,0.0,0.05,0.05,0.05,0.07,0.02,0.09,0.09,12,3,25.0,0.62,0.15,0.08,0.33,12.2,0,0,0.11,-0.3,-0.3,715,866,82.6,14781,5992,203,231,87.9,420,475,88.4,87,142,61.3,0.5,-0.3,5,69,4,0,838,27,19,1,12,4,715,20,1.03,17,0,1,0,0,2,2,0.1,1,0,1,0,0,0,32,22,12,17,3,11,21,52.4,10,15,9,6,18,50,81,0,1051,142,480,516,66,24,1051,10,5,50.0,4,40.0,569,3083,1802,9,0,660,5,74,56,31,64.4
Reynaldo Cesar Moraes,Defensor,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,94,122,77.0,1730,642,29,32,90.6,57,67,85.1,6,16,37.5,0.0,0.0,0,4,0,0,116,6,6,0,0,1,94,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,10,6,6,4,0,3,6,50.0,3,9,5,4,0,10,22,0,168,28,98,67,4,0,168,0,0,0.0,0,0.0,72,363,187,2,0,88,0,9,7,5,58.3
Christian,Meio-campista,1,0,1,1,1.4,1.4,1.8,3.2,14,55,96,0.07,0.0,0.07,0.07,0.07,0.09,0.12,0.21,0.21,20,5,25.0,1.35,0.34,0.05,0.2,15.6,0,0,0.07,-0.4,-0.4,382,473,80.8,5944,1580,199,225,88.4,148,174,85.1,26,44,59.1,0.9,-1.8,14,36,10,1,461,11,2,3,3,27,382,36,2.43,26,2,0,3,4,1,2,0.14,2,0,0,0,0,0,26,14,10,14,2,9,20,45.0,11,13,3,10,10,36,9,0,615,8,75,306,238,42,615,23,9,39.1,12,52.2,360,1548,577,13,3,427,24,43,12,10,54.5
Eliel Chrystian,Atacante,1,0,1,1,1.1,1.1,0.0,1.2,4,1,22,0.25,0.0,0.25,0.25,0.25,0.29,0.01,0.3,0.3,9,3,33.3,2.29,0.76,0.11,0.33,11.7,0,0,0.13,-0.1,-0.1,28,45,62.2,393,96,16,20,80.0,10,14,71.4,1,3,33.3,0.0,0.0,1,1,0,0,44,1,0,0,0,4,28,8,2.04,2,0,0,1,5,0,0,0.0,0,0,0,0,0,0,7,5,3,2,2,2,6,33.3,4,6,1,5,1,8,5,0,106,2,22,38,48,13,106,6,2,33.3,2,33.3,54,389,167,1,1,71,14,11,8,7,53.3
Chumbinho,Meio-campista,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.84,0.84,1,1,100.0,7.5,7.5,0.0,0.0,17.2,0,0,0.11,-0.1,-0.1,3,6,50.0,41,5,1,1,100.0,1,4,25.0,0,0,0.0,0.0,0.0,0,0,0,0,5,1,1,0,0,0,3,1,7.5,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,9,0,3,5,1,1,9,1,0,0.0,0,0.0,4,48,38,2,1,6,1,1,0,0,0.0
Cicinho,Defensor,0,0,0,0,0.0,0.0,0.1,0.1,1,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,95,107,88.8,1458,538,59,63,93.7,32,35,91.4,4,5,80.0,0.1,-0.1,2,7,1,1,96,11,4,0,1,2,95,3,3.18,3,0,0,0,0,0,1,1.06,1,0,0,0,0,0,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,0,1,110,4,25,60,25,0,110,1,1,100.0,0,0.0,57,255,140,3,0,83,2,3,2,3,40.0
José Cifuentes,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,2,3,8,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,2,0,0.0,2.61,0.0,0.0,0.0,28.7,0,0,0.02,0.0,0.0,28,39,71.8,380,88,19,23,82.6,9,14,64.3,0,1,0.0,0.0,0.0,0,4,0,0,39,0,0,0,0,0,28,1,1.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,0,2,1,2,3,66.7,1,0,0,0,0,3,3,0,50,2,8,25,18,0,50,0,0,0.0,0,0.0,32,122,58,4,0,34,0,8,1,1,50.0
Claudinho,Defensor,2,3,5,2,1.0,1.0,3.2,4.2,34,85,84,0.11,0.16,0.27,0.11,0.27,0.05,0.17,0.23,0.23,19,5,26.3,1.03,0.27,0.11,0.4,24.0,0,0,0.05,1.0,1.0,745,938,79.4,12581,4779,361,409,88.3,306,366,83.6,60,121,49.6,2.0,-0.2,34,59,18,8,786,150,19,1,6,54,745,65,3.53,48,7,3,3,1,3,4,0.22,2,0,1,1,0,0,48,32,29,14,5,29,69,42.0,40,29,8,21,26,74,38,0,1140,69,336,502,313,17,1140,27,15,55.6,11,40.7,546,2855,1463,31,1,662,4,95,6,14,30.0
Mateus Claus,Goleiro,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,83,133,62.4,2073,1409,13,13,100.0,49,50,98.0,18,67,26.9,0.0,0.0,0,0,0,0,82,51,16,0,0,0,83,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,146,130,146,0,0,0,146,0,0,0.0,0,0.0,59,322,186,0,0,43,1,7,1,0,100.0
Clayson,Atacante,4,0,4,4,2.0,2.0,0.5,2.5,41,46,78,0.28,0.0,0.28,0.28,0.28,0.14,0.03,0.18,0.18,33,11,33.3,2.32,0.77,0.12,0.36,20.7,7,0,0.06,2.0,2.0,331,467,70.9,5084,1210,188,221,85.1,105,135,77.8,28,77,36.4,1.4,-0.5,9,28,11,2,415,50,8,3,0,59,331,33,2.32,20,6,2,0,5,0,5,0.35,1,1,1,0,2,0,7,5,1,4,2,3,27,11.1,24,17,1,16,6,13,11,0,640,9,71,242,336,39,640,52,16,30.8,30,57.7,393,2612,1106,24,18,464,27,49,3,9,25.0
Clayton,Defensor,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,64,68,94.1,1387,344,15,15,100.0,38,39,97.4,10,13,76.9,0.0,0.0,0,4,0,0,67,1,1,0,1,0,64,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,4,0,74,5,38,35,1,0,74,0,0,0.0,0,0.0,41,170,110,0,0,59,1,4,2,1,66.7
Clayton,Atacante,0,0,0,0,0.8,0.8,0.0,0.8,1,2,9,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,8,2,25.0,4.93,1.23,0.0,0.0,14.4,0,0,0.1,-0.8,-0.8,21,29,72.4,335,19,11,14,78.6,5,6,83.3,3,4,75.0,0.1,0.0,0,0,1,0,26,3,0,0,0,2,21,2,1.23,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,3,1,0,2,1,1,100.0,0,1,1,0,1,4,2,0,55,3,5,17,34,12,55,1,1,100.0,0,0.0,20,74,14,0,1,37,1,4,6,7,46.2
Cleiton,Defensor,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,2,0,0.0,1.89,0.0,0.0,0.0,22.6,0,0,0.02,0.0,0.0,51,60,85.0,886,318,24,24,100.0,25,29,86.2,2,7,28.6,0.0,0.0,0,3,0,0,58,2,1,0,1,1,51,1,0.95,1,0,0,0,0,0,1,0.95,1,0,0,0,0,0,2,2,2,0,0,1,2,50.0,1,0,0,0,0,2,0,0,65,4,28,34,4,1,65,0,0,0.0,0,0.0,46,208,105,0,0,52,0,5,0,2,0.0
Mateus Cocão,Meio-campista,2,1,3,2,0.6,0.6,0.2,0.8,10,80,18,0.13,0.06,0.19,0.13,0.19,0.04,0.01,0.05,0.05,14,6,42.9,0.9,0.39,0.14,0.33,23.0,0,0,0.04,1.4,1.4,663,774,85.7,11124,3433,303,337,89.9,278,314,88.5,59,74,79.7,0.5,0.8,6,76,6,2,737,32,26,0,8,6,663,29,1.87,25,0,2,1,0,1,4,0.26,4,0,0,0,0,0,61,37,28,30,3,25,49,51.0,24,30,5,25,23,84,12,1,962,33,246,612,114,9,962,20,16,80.0,2,10.0,504,2043,775,10,0,609,22,96,18,12,60.0
Robert Conceição,Meio-campista,0,0,0,0,0.0,0.0,0.1,0.1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,17,70.6,223,52,5,6,83.3,6,6,100.0,1,5,20.0,0.0,-0.1,1,1,1,0,17,0,0,0,1,1,12,4,32.73,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,18,0,1,11,6,0,18,1,1,100.0,0,0.0,17,117,42,1,0,17,1,1,0,0,0.0
Igor Coronado,Meio-campista,1,2,3,1,0.9,0.9,3.6,4.5,63,106,74,0.07,0.15,0.22,0.07,0.22,0.07,0.27,0.34,0.34,31,6,19.4,2.32,0.45,0.03,0.17,27.2,7,0,0.03,0.1,0.1,536,736,72.8,9682,3323,242,275,88.0,204,263,77.6,72,135,53.3,3.8,-1.6,38,79,32,10,649,82,34,7,11,97,536,74,5.54,50,14,1,2,5,2,3,0.22,3,0,0,0,0,0,30,17,10,13,7,13,30,43.3,17,26,4,22,9,39,7,0,925,12,107,471,360,22,925,69,27,39.1,36,52.2,571,3646,2053,53,8,680,23,49,3,10,23.1
Diego Costa,Atacante,1,1,2,1,0.4,0.4,0.3,0.7,3,7,15,0.35,0.35,0.69,0.35,0.69,0.14,0.09,0.23,0.23,4,2,50.0,1.38,0.69,0.25,0.5,12.9,0,0,0.11,0.6,0.6,51,66,77.3,661,117,29,36,80.6,15,17,88.2,1,2,50.0,0.5,0.7,3,3,1,0,58,8,1,0,0,1,51,6,1.94,4,1,0,0,1,0,0,0.0,0,0,0,0,0,0,3,1,0,2,1,1,1,100.0,0,1,1,0,0,3,1,0,89,3,4,40,46,13,89,4,0,0.0,4,100.0,55,243,95,2,1,70,6,5,4,9,30.8
Douglas Costa,Atacante,0,0,0,0,0.1,0.1,0.4,0.5,12,19,30,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.15,0.15,4,3,75.0,1.23,0.92,0.0,0.0,29.0,1,0,0.03,-0.1,-0.1,156,206,75.7,2294,666,85,95,89.5,53,70,75.7,9,24,37.5,1.0,-0.4,7,12,4,3,188,18,4,0,1,26,156,17,5.24,15,1,0,1,0,0,1,0.31,1,0,0,0,0,0,6,6,3,2,1,1,3,33.3,2,4,0,4,2,8,2,0,238,2,25,97,120,7,238,24,15,62.5,8,33.3,158,1090,448,12,4,179,3,16,2,2,50.0
Philippe Coutinho,Meio-campista,1,0,1,1,0.8,0.8,0.1,0.9,8,16,9,0.44,0.0,0.44,0.44,0.44,0.35,0.03,0.38,0.38,5,2,40.0,2.18,0.87,0.2,0.5,25.7,1,0,0.16,0.2,0.2,90,124,72.6,1439,481,50,65,76.9,28,33,84.8,8,20,40.0,0.3,-0.1,2,16,3,1,112,11,3,2,0,11,90,4,1.75,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,4,3,1,2,1,2,2,100.0,0,0,0,0,4,8,0,0,155,0,14,85,58,4,155,8,3,37.5,4,50.0,101,620,350,6,0,112,5,14,2,4,33.3
Franco Cristaldo,Meio-campista,5,2,7,4,4.3,3.5,3.3,6.8,25,117,101,0.29,0.11,0.4,0.23,0.34,0.24,0.19,0.43,0.39,37,15,40.5,2.11,0.86,0.11,0.27,19.2,3,1,0.1,0.7,0.5,686,892,76.9,11083,3547,359,400,89.8,231,291,79.4,68,146,46.6,4.0,-1.3,50,82,22,3,746,144,52,6,9,99,686,94,5.37,56,28,0,7,3,0,8,0.46,3,3,0,1,1,0,28,20,5,19,4,9,28,32.1,19,15,1,14,11,39,11,0,1060,7,70,474,525,50,1059,20,8,40.0,8,40.0,536,2319,975,23,3,730,31,87,19,35,35.2
Alejo Cruz,Meio-campista,1,1,2,0,1.6,0.8,2.4,3.2,37,67,100,0.07,0.07,0.13,0.0,0.07,0.11,0.16,0.26,0.21,13,3,23.1,0.86,0.2,0.0,0.0,24.7,4,1,0.06,-0.6,-0.8,461,657,70.2,7618,2955,244,284,85.9,149,202,73.8,52,118,44.1,3.0,-1.4,44,47,20,10,535,119,38,3,2,121,461,71,4.71,40,26,0,3,2,0,3,0.2,1,1,0,1,0,0,24,17,10,10,4,13,29,44.8,16,22,2,20,15,39,14,0,804,13,119,312,389,24,803,31,12,38.7,17,54.8,438,2307,1381,37,5,474,21,67,13,17,43.3
Tomás Cuello,Atacante,1,3,4,1,1.7,1.7,2.8,4.5,54,49,114,0.08,0.24,0.32,0.08,0.32,0.14,0.22,0.36,0.36,36,11,30.6,2.89,0.88,0.03,0.09,24.3,1,0,0.05,-0.7,-0.7,355,501,70.9,6110,1911,173,200,86.5,149,198,75.3,29,73,39.7,2.7,0.2,29,29,19,8,458,42,2,0,7,68,355,60,4.82,40,5,9,4,2,0,3,0.24,3,0,0,0,0,0,20,15,14,6,0,9,21,42.9,12,20,2,18,9,29,8,0,668,11,95,253,337,35,668,68,38,55.9,28,41.2,420,3060,1693,34,12,451,17,79,8,12,40.0
Víctor Cuesta,Defensor,0,0,0,0,0.2,0.2,0.0,0.2,1,14,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,2,1,50.0,0.36,0.18,0.0,0.0,20.1,0,0,0.1,-0.2,-0.2,337,369,91.3,5708,1953,127,134,94.8,195,209,93.3,11,21,52.4,0.1,0.0,0,11,0,0,355,14,13,0,0,1,337,1,0.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,12,9,4,7,1,7,10,70.0,3,7,2,5,5,17,23,0,423,47,181,233,12,1,423,2,1,50.0,0,0.0,286,1564,892,3,0,313,5,19,7,6,53.8
Cuiabano,Defensor,0,0,0,0,0.0,0.0,0.0,0.0,0,10,5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,1,0,0.0,0.55,0.0,0.0,0.0,20.8,0,0,0.02,0.0,0.0,77,106,72.6,1345,511,36,40,90.0,32,39,82.1,6,16,37.5,0.0,0.0,0,10,2,0,83,23,3,0,0,2,77,2,1.1,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,3,0,2,1,0,2,2,100.0,0,4,2,2,5,8,5,0,125,7,45,62,20,2,125,0,0,0.0,0,0.0,49,278,129,1,0,64,5,9,4,3,57.1
Cuiabano,Defensor,4,1,5,4,1.3,1.3,0.5,1.8,25,29,105,0.3,0.07,0.37,0.3,0.37,0.1,0.04,0.14,0.14,24,11,45.8,1.79,0.82,0.17,0.36,17.9,0,0,0.06,2.7,2.7,389,589,66.0,6125,2281,212,249,85.1,148,235,63.0,21,70,30.0,0.5,0.5,6,25,10,4,458,130,4,0,1,83,389,28,2.09,21,3,0,4,0,0,6,0.45,4,1,0,1,0,0,41,29,22,15,4,20,30,66.7,10,17,2,15,21,62,45,0,787,33,195,307,294,31,787,19,4,21.1,12,63.2,346,1691,926,21,7,385,22,48,21,14,60.0
Lucas Cunha,Defensor,0,0,0,0,0.0,0.0,0.1,0.1,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,1,0,0.0,0.18,0.0,0.0,0.0,29.3,0,0,0.02,0.0,0.0,168,212,79.2,3301,1081,42,53,79.2,108,127,85.0,14,26,53.8,0.0,-0.1,1,12,0,0,195,17,9,2,2,0,168,2,0.35,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,9,7,7,1,1,4,7,57.1,3,7,6,1,3,12,32,0,271,48,134,125,12,2,271,0,0,0.0,0,0.0,111,468,222,0,0,132,3,13,10,10,50.0
Matheus Cunha,Goleiro,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,60,78,76.9,1547,977,13,13,100.0,29,31,93.5,18,33,54.5,0.0,0.0,0,0,0,0,67,10,1,0,0,0,60,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,82,61,81,1,0,0,82,0,0,0.0,0,0.0,57,229,126,0,0,55,0,2,2,0,100.0
Danielzinho,Meio-campista,0,0,0,0,0.0,0.0,0.1,0.1,4,16,9,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.13,1,0,0.0,0.87,0.0,0.0,0.0,30.1,0,0,0.02,0.0,0.0,92,112,82.1,1612,445,43,48,89.6,44,53,83.0,5,8,62.5,0.3,-0.1,4,9,4,2,106,6,1,0,0,6,92,8,6.99,7,0,0,0,1,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,117,2,10,64,44,2,117,1,1,100.0,0,0.0,75,384,218,4,0,95,2,8,0,1,0.0
David,Atacante,4,3,7,4,1.8,1.8,1.9,3.8,41,48,127,0.23,0.17,0.4,0.23,0.4,0.1,0.11,0.21,0.21,33,7,21.2,1.87,0.4,0.12,0.57,20.3,0,0,0.06,2.2,2.2,358,479,74.7,5626,1301,189,235,80.4,135,163,82.8,21,35,60.0,2.1,1.1,20,25,17,2,463,12,2,1,3,15,358,44,2.49,34,1,6,2,1,0,5,0.28,4,0,1,0,0,0,21,15,8,10,3,6,21,28.6,15,10,1,9,9,30,10,1,669,15,95,282,306,44,669,64,37,57.8,26,40.6,415,2937,1244,33,13,469,23,93,18,16,52.9
David,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,2,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,16,23,69.6,243,85,10,12,83.3,5,7,71.4,1,1,100.0,0.0,0.0,0,2,0,0,22,1,0,0,0,2,16,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,2,0,31,1,5,15,11,0,31,1,1,100.0,0,0.0,20,109,38,2,0,25,1,4,1,0,100.0
Giorgian De Arrascaeta,Meio-campista,4,5,9,4,1.5,1.5,1.6,3.1,15,64,68,0.44,0.55,1.0,0.44,1.0,0.17,0.18,0.35,0.35,16,8,50.0,1.78,0.89,0.25,0.5,18.7,0,0,0.1,2.5,2.5,391,499,78.4,5784,1624,212,238,89.1,132,170,77.6,24,54,44.4,1.9,3.4,20,36,24,3,440,59,22,5,1,45,391,44,4.88,28,7,4,0,3,2,10,1.11,8,0,2,0,0,0,13,9,3,5,5,6,22,27.3,16,9,1,8,3,16,3,0,581,5,37,268,281,32,581,26,14,53.8,7,26.9,330,1648,728,13,7,449,21,39,5,8,38.5
Nicolás De La Cruz,Meio-campista,2,2,4,2,1.6,1.6,2.0,3.6,15,82,31,0.23,0.23,0.46,0.23,0.46,0.18,0.22,0.41,0.41,18,7,38.9,2.05,0.8,0.11,0.29,26.1,5,0,0.09,0.4,0.4,495,609,81.3,8791,3126,238,275,86.5,199,233,85.4,51,84,60.7,1.8,0.0,28,92,20,3,537,71,27,1,2,35,495,57,6.49,40,8,1,2,6,0,5,0.57,5,0,0,0,0,0,18,12,2,10,6,7,15,46.7,8,13,3,10,8,26,5,1,699,13,74,416,217,18,699,14,7,50.0,4,28.6,390,2100,1096,21,2,489,30,54,9,16,36.0
Sergio Antonio De Luiz Junior,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7,8,87.5,134,37,2,2,100.0,5,6,83.3,0,0,0.0,0.0,0.0,0,0,0,0,8,0,0,0,0,0,7,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,10,0,2,4,5,2,10,0,0,0.0,0,0.0,6,12,8,0,1,8,1,2,0,0,0.0
Sergio Antonio De Luiz Junior,Atacante,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,1,1,100.0,2.2,2.2,0.0,0.0,13.0,0,0,0.06,-0.1,-0.1,5,12,41.7,67,0,2,3,66.7,2,6,33.3,0,1,0.0,0.0,0.0,0,0,0,0,11,1,1,0,0,3,5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,20,0,1,9,10,2,20,2,1,50.0,0,0.0,16,92,19,1,1,15,4,1,0,3,0.0
Denilson,Meio-campista,0,3,3,0,0.8,0.8,1.8,2.6,25,79,34,0.0,0.18,0.18,0.0,0.18,0.05,0.1,0.15,0.15,20,5,25.0,1.17,0.29,0.0,0.0,24.6,1,0,0.04,-0.8,-0.8,657,762,86.2,10644,2543,323,350,92.3,271,292,92.8,45,80,56.3,1.5,1.2,21,70,19,5,741,16,9,8,4,22,657,60,3.51,47,3,5,3,1,1,7,0.41,6,0,1,0,0,0,34,13,12,16,6,16,25,64.0,9,8,0,8,7,41,11,0,901,15,148,528,243,10,901,67,48,71.6,14,20.9,548,2957,1324,23,4,651,18,116,6,11,35.3
