Nome do jogador,Posição do jogador,Minutos jogados,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Jorge Ruvalcaba,Meio-campista,479,2,1,3,2,1.7,1.7,0.8,2.5,21,12,50,0.38,0.19,0.56,0.38,0.56,0.32,0.15,0.47,0.47,15,5,33.3,2.82,0.94,0.13,0.4,19.6,2,0,0.11,0.3,0.3,123,167,73.7,1867,381,68,78,87.2,42,54,77.8,9,20,45.0,0.5,0.2,6,6,6,4,158,8,0,0,1,21,123,18,3.39,11,0,3,3,0,1,4,0.75,1,0,2,1,0,0,13,8,2,7,4,9,14,64.3,5,2,0,2,3,16,1,0,234,1,20,94,130,20,234,13,8,61.5,5,38.5,153,1113,594,14,11,156,0,30,0,3,0.0
Carlos Salcedo,Defensor,429,0,0,0,0,0.0,0.0,0.2,0.2,0,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,1,0,0.0,0.21,0.0,0.0,0.0,13.7,0,0,0.02,0.0,0.0,221,250,88.4,4873,1949,54,60,90.0,120,130,92.3,44,54,81.5,0.3,-0.2,1,9,1,0,235,15,13,0,5,2,221,5,1.05,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,2,2,2,0,2,2,100.0,0,6,5,1,9,13,15,0,291,32,167,109,16,5,291,1,1,100.0,0,0.0,181,920,520,0,0,189,1,20,14,2,87.5
Sebastien Salles-Lamonge,Meio-campista,834,2,1,3,1,1.9,1.1,2.0,3.0,14,57,34,0.22,0.11,0.32,0.11,0.22,0.2,0.21,0.41,0.33,12,4,33.3,1.29,0.43,0.08,0.25,27.5,3,1,0.09,0.1,-0.1,408,485,84.1,7844,2294,168,176,95.5,163,190,85.8,65,96,67.7,2.1,-1.0,19,52,16,2,447,36,14,4,7,27,408,39,4.21,30,5,1,2,0,1,4,0.43,3,0,1,0,0,0,6,0,3,3,0,3,9,33.3,6,13,3,10,16,22,4,0,562,10,90,335,143,6,561,11,10,90.9,1,9.1,354,1547,681,10,0,419,15,57,4,5,44.4
Juan Sanabria,Defensor,905,0,1,1,0,0.4,0.4,3.3,3.7,15,37,67,0.0,0.1,0.1,0.0,0.1,0.04,0.33,0.37,0.37,12,1,8.3,1.19,0.1,0.0,0.0,21.4,0,0,0.04,-0.4,-0.4,379,504,75.2,6781,2784,176,198,88.9,157,194,80.9,38,72,52.8,1.3,-2.3,20,35,18,8,420,79,9,0,5,40,379,36,3.58,31,1,0,1,3,0,2,0.2,1,0,0,0,1,0,15,11,7,6,2,6,11,54.5,5,12,0,12,15,30,26,0,616,36,164,276,179,20,616,10,3,30.0,6,60.0,307,1405,639,12,1,371,11,39,14,11,56.0
Carlos Sánchez,Defensor,265,1,1,2,1,0.1,0.1,0.3,0.4,10,17,9,0.34,0.34,0.68,0.34,0.68,0.05,0.09,0.13,0.13,5,4,80.0,1.7,1.36,0.2,0.25,24.4,0,0,0.03,0.9,0.9,130,164,79.3,2145,1022,69,77,89.6,45,57,78.9,13,23,56.5,0.3,0.7,4,13,4,1,134,30,6,1,0,8,130,7,2.38,4,0,2,0,1,0,1,0.34,1,0,0,0,0,0,4,4,2,2,0,3,4,75.0,1,1,0,1,3,7,4,0,199,8,55,99,47,4,199,8,2,25.0,2,25.0,104,707,429,8,2,125,10,11,3,2,60.0
Erick Sánchez,Meio-campista,615,0,0,0,0,1.6,1.6,0.5,2.0,15,28,27,0.0,0.0,0.0,0.0,0.0,0.23,0.07,0.29,0.29,17,1,5.9,2.49,0.15,0.0,0.0,19.9,0,0,0.09,-1.6,-1.6,234,277,84.5,3049,766,137,148,92.6,61,71,85.9,11,19,57.9,0.6,-0.5,8,15,6,0,265,11,6,0,0,6,234,24,3.51,20,1,0,1,2,0,2,0.29,2,0,0,0,0,0,10,4,4,6,0,1,4,25.0,3,8,2,6,4,14,2,0,360,4,36,188,137,18,360,14,3,21.4,10,71.4,224,1073,574,13,2,269,10,24,1,10,9.1
Jesús Sánchez García,Defensor,15,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,24,95.8,443,98,7,7,100.0,12,12,100.0,3,4,75.0,0.0,0.0,0,3,0,0,22,2,0,0,0,0,23,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,25,0,3,15,7,0,25,0,0,0.0,0,0.0,18,67,50,3,0,20,0,0,0,0,0.0
Luis Sánchez,Defensor,642,2,0,2,2,1.2,1.2,0.1,1.2,11,22,1,0.28,0.0,0.28,0.28,0.28,0.16,0.01,0.17,0.17,5,2,40.0,0.7,0.28,0.4,1.0,8.8,0,0,0.23,0.8,0.8,254,297,85.5,4726,1784,91,100,91.0,138,153,90.2,23,38,60.5,0.6,-0.1,3,25,0,0,282,14,7,1,1,1,254,5,0.7,3,0,0,1,0,1,0,0.0,0,0,0,0,0,0,6,3,5,1,0,2,5,40.0,3,6,2,4,7,13,24,0,356,29,151,187,20,8,356,0,0,0.0,0,0.0,205,1107,678,4,0,237,2,21,8,10,44.4
Richard Sánchez,Meio-campista,616,0,1,1,0,0.4,0.4,0.7,1.1,26,48,11,0.0,0.15,0.15,0.0,0.15,0.06,0.1,0.16,0.16,11,2,18.2,1.61,0.29,0.0,0.0,29.2,2,0,0.04,-0.4,-0.4,464,528,87.9,7834,2506,228,247,92.3,158,176,89.8,53,74,71.6,0.9,0.3,10,66,4,0,486,40,21,1,5,24,464,19,2.78,10,7,1,1,0,0,2,0.29,1,0,1,0,0,0,17,10,5,10,2,11,18,61.1,7,7,1,6,4,21,5,1,591,10,105,373,118,5,591,9,2,22.2,6,66.7,389,2071,1097,9,0,447,6,33,3,3,50.0
Raúl Sandoval,Defensor,63,0,0,0,0,0.0,0.0,0.1,0.1,4,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,17,26,65.4,318,155,9,10,90.0,4,8,50.0,4,6,66.7,0.1,-0.1,2,3,2,1,18,8,0,0,0,8,17,4,5.71,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,1,1,100.0,0,1,0,1,2,3,5,0,43,6,11,16,17,1,43,4,1,25.0,3,75.0,20,207,80,2,0,15,0,6,1,1,50.0
