Nome do jogador,Posição do jogador,Minutos jogados,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Anderson Santamaría,Defensor,687,0,1,1,0,0.1,0.1,0.1,0.2,3,11,2,0.0,0.13,0.13,0.0,0.13,0.01,0.02,0.03,0.03,2,1,50.0,0.26,0.13,0.0,0.0,23.8,1,0,0.05,-0.1,-0.1,316,379,83.4,6361,2713,93,108,86.1,174,183,95.1,41,74,55.4,0.2,0.9,2,12,1,0,352,24,11,0,2,2,316,8,1.05,8,0,0,0,0,0,1,0.13,1,0,0,0,0,0,15,10,11,4,0,9,10,90.0,1,18,11,7,10,25,35,2,466,112,324,133,11,1,466,5,3,60.0,2,40.0,273,1157,645,3,0,296,7,24,9,12,42.9
Sebastian Santos,Meio-campista,109,0,0,0,0,0.0,0.0,0.3,0.3,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,26,35,74.3,414,82,10,12,83.3,14,17,82.4,1,3,33.3,0.1,-0.3,1,1,1,1,35,0,0,0,0,5,26,1,0.83,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3,4,3,1,3,3,2,0,54,4,13,25,17,1,54,5,1,20.0,4,80.0,31,169,42,2,1,36,0,4,0,0,0.0
Francisco Sebastián Córdova,Meio-campista,476,1,2,3,1,2.2,2.2,1.3,3.5,11,30,54,0.19,0.38,0.57,0.19,0.57,0.41,0.25,0.66,0.66,14,5,35.7,2.65,0.95,0.07,0.2,18.8,2,0,0.16,-1.2,-1.2,129,213,60.6,2325,900,60,81,74.1,50,80,62.5,15,38,39.5,1.2,0.7,12,16,9,1,171,42,13,1,2,37,129,20,3.77,11,7,0,0,1,1,4,0.75,1,1,0,0,1,1,8,2,4,3,1,3,4,75.0,1,2,0,2,6,14,3,0,285,4,19,98,172,22,285,11,4,36.4,7,63.6,146,809,365,11,3,190,10,14,8,13,38.1
Ángel Sepúlveda,Atacante,494,4,0,4,4,1.6,1.6,0.3,1.9,4,7,61,0.73,0.0,0.73,0.73,0.73,0.29,0.06,0.35,0.35,16,6,37.5,2.91,1.09,0.25,0.67,13.8,0,0,0.1,2.4,2.4,80,125,64.0,1068,171,40,58,69.0,24,34,70.6,4,9,44.4,0.4,-0.3,5,6,5,2,118,5,0,0,0,6,80,13,2.36,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,1,4,25.0,3,4,0,4,2,3,2,0,190,1,4,73,114,45,190,8,3,37.5,5,62.5,115,486,125,3,5,152,5,11,13,19,40.6
Gilberto Sepúlveda,Defensor,540,0,0,0,0,0.0,0.0,0.2,0.3,1,14,1,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.04,1,0,0.0,0.17,0.0,0.0,0.0,11.8,0,0,0.04,0.0,0.0,292,335,87.2,6191,2642,86,89,96.6,165,178,92.7,41,65,63.1,0.1,-0.2,3,17,0,0,322,13,7,0,3,0,292,3,0.5,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,10,6,7,3,0,5,6,83.3,1,6,5,1,4,14,15,0,385,33,207,176,5,1,385,2,1,50.0,1,50.0,224,1069,542,1,0,244,0,33,4,8,33.3
Leonardo Sepulveda,Atacante,18,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11,14,78.6,201,111,5,5,100.0,4,5,80.0,2,4,50.0,0.0,0.0,0,0,0,0,13,1,0,0,0,0,11,1,5.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,1,0,19,1,6,13,0,0,19,0,0,0.0,0,0.0,10,38,6,0,0,9,0,1,1,0,100.0
Jordan Sierra,Meio-campista,568,0,1,1,0,1.5,1.5,1.8,3.3,13,37,24,0.0,0.16,0.16,0.0,0.16,0.23,0.29,0.52,0.52,8,1,12.5,1.27,0.16,0.0,0.0,17.6,0,0,0.18,-1.5,-1.5,268,304,88.2,4730,1473,117,128,91.4,129,138,93.5,19,26,73.1,1.4,-0.8,9,38,6,0,295,6,5,2,0,1,268,21,3.32,18,0,1,1,1,0,1,0.16,1,0,0,0,0,0,6,5,3,3,0,1,8,12.5,7,6,0,6,8,14,8,0,353,10,43,237,83,11,353,8,4,50.0,3,37.5,242,1264,564,10,1,251,17,42,2,4,33.3
Nathan Silva,Defensor,810,0,0,0,0,0.4,0.4,0.6,1.0,13,41,4,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.11,4,0,0.0,0.44,0.0,0.0,0.0,8.4,0,0,0.1,-0.4,-0.4,435,495,87.9,8784,3504,131,141,92.9,256,279,91.8,46,65,70.8,0.6,-0.6,3,39,0,0,475,20,16,0,3,1,435,4,0.44,2,0,0,1,0,1,0,0.0,0,0,0,0,0,0,20,14,15,5,0,11,13,84.6,2,13,9,4,10,30,30,0,595,49,238,336,22,7,595,1,0,0.0,1,100.0,363,1623,968,6,2,387,4,35,17,12,58.6
Carlo Soldati,Defensor,13,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,8,100.0,177,43,1,1,100.0,6,6,100.0,1,1,100.0,0.0,0.0,0,0,0,0,7,1,1,0,0,0,8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,10,2,4,6,0,0,10,0,0,0.0,0,0.0,6,26,8,0,0,6,0,1,1,1,50.0
Ramiro Sordo,Atacante,713,1,3,4,1,0.6,0.6,2.4,2.9,20,11,37,0.13,0.38,0.5,0.13,0.5,0.07,0.3,0.37,0.37,15,7,46.7,1.89,0.88,0.07,0.14,27.9,1,0,0.04,0.4,0.4,133,195,68.2,2302,510,78,94,83.0,30,39,76.9,20,43,46.5,1.2,0.6,6,8,6,4,186,8,0,0,8,20,133,20,2.53,12,0,1,2,4,1,4,0.51,3,0,0,0,0,1,9,7,2,7,0,4,10,40.0,6,2,0,2,1,10,4,0,265,4,45,142,91,10,265,23,10,43.5,9,39.1,196,1374,677,21,3,203,15,37,1,2,33.3
Samuel Sosa,Atacante,612,1,1,2,1,1.5,1.5,0.9,2.4,6,10,22,0.15,0.15,0.29,0.15,0.29,0.22,0.13,0.35,0.35,12,4,33.3,1.76,0.59,0.08,0.25,19.4,1,0,0.12,-0.5,-0.5,84,121,69.4,1419,337,43,53,81.1,31,37,83.8,8,18,44.4,0.5,0.1,9,6,4,2,94,26,2,0,4,12,84,15,2.21,8,3,2,0,2,0,1,0.15,1,0,0,0,0,0,3,1,0,0,3,2,2,100.0,0,0,0,0,1,4,3,0,179,0,8,77,98,25,179,17,11,64.7,6,35.3,103,551,185,6,5,124,10,10,3,13,18.8
Leonardo Suárez,Meio-campista,250,0,1,1,0,0.1,0.1,1.4,1.5,4,17,15,0.0,0.36,0.36,0.0,0.36,0.05,0.51,0.55,0.55,5,2,40.0,1.8,0.72,0.0,0.0,26.5,1,0,0.03,-0.1,-0.1,78,124,62.9,1711,736,28,34,82.4,23,32,71.9,24,47,51.1,1.1,-0.4,15,14,8,5,102,22,6,0,7,23,78,22,7.92,14,7,0,1,0,0,2,0.72,2,0,0,0,0,0,3,2,0,3,0,2,8,25.0,6,3,0,3,0,3,1,0,146,1,11,71,64,6,146,5,3,60.0,1,20.0,89,391,162,3,2,105,5,11,0,0,0.0
Iván Tona,Meio-campista,409,0,0,0,0,0.6,0.6,0.2,0.8,9,33,13,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.17,0.17,5,2,40.0,1.1,0.44,0.0,0.0,23.5,0,0,0.11,-0.6,-0.6,263,305,86.2,4819,1345,111,121,91.7,115,127,90.6,31,47,66.0,0.2,-0.2,6,24,5,0,291,13,10,0,2,6,263,12,2.64,11,1,0,0,0,0,0,0.0,0,0,0,0,0,0,7,3,4,2,1,5,7,71.4,2,1,0,1,5,12,1,0,340,3,66,199,82,5,340,12,7,58.3,5,41.7,235,1042,397,6,0,254,4,30,1,2,33.3
Alan Torres,Meio-campista,371,0,0,0,0,0.1,0.1,0.2,0.3,3,32,4,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.06,3,0,0.0,0.73,0.0,0.0,0.0,27.9,0,0,0.02,-0.1,-0.1,217,245,88.6,4200,1702,85,88,96.6,100,110,90.9,29,39,74.4,0.3,-0.2,2,28,6,0,233,10,7,0,5,5,217,6,1.46,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,2,1,0,0,9,0.0,9,4,2,2,4,7,3,0,269,6,70,162,37,3,269,1,1,100.0,0,0.0,168,789,396,5,0,189,2,21,1,0,100.0
Jairo Torres,Atacante,792,1,1,2,1,0.7,0.7,0.8,1.5,25,28,76,0.11,0.11,0.23,0.11,0.23,0.08,0.09,0.17,0.17,16,3,18.8,1.82,0.34,0.06,0.33,17.4,0,0,0.04,0.3,0.3,159,231,68.8,2550,779,83,103,80.6,55,78,70.5,15,23,65.2,0.9,0.2,11,13,5,3,226,4,1,0,2,26,159,28,3.18,19,0,3,2,4,0,1,0.11,1,0,0,0,0,0,11,7,4,7,0,3,9,33.3,6,3,0,3,3,14,10,0,356,6,43,166,158,27,356,55,19,34.5,35,63.6,236,1545,727,24,10,267,26,34,9,12,42.9
Óliver Torres,Meio-campista,477,0,1,1,0,0.2,0.2,0.6,0.9,16,48,41,0.0,0.19,0.19,0.0,0.19,0.05,0.12,0.16,0.16,5,1,20.0,0.94,0.19,0.0,0.0,19.5,0,0,0.05,-0.2,-0.2,288,350,82.3,4881,1644,139,163,85.3,120,137,87.6,23,34,67.6,0.7,0.4,12,35,11,1,330,18,11,1,4,10,288,24,4.53,19,3,0,1,0,1,1,0.19,1,0,0,0,0,0,9,4,1,7,1,6,11,54.5,5,10,1,9,6,15,3,0,399,6,47,224,131,10,399,5,2,40.0,3,60.0,205,940,487,11,4,288,3,34,1,1,50.0
Román Torres,Defensor,6,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,5,20.0,11,8,1,1,100.0,0,4,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,5,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,0,7,0,2,3,2,0,7,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,100.0
Santiago Trigos,Meio-campista,68,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13,20,65.0,158,50,5,7,71.4,6,9,66.7,0,1,0.0,0.0,-0.3,1,0,0,0,20,0,0,0,0,1,13,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,5,1,5,0,3,3,100.0,0,1,0,1,0,6,3,0,37,0,9,24,4,1,37,0,0,0.0,0,0.0,10,47,15,1,0,14,2,6,0,1,0.0
Héctor Uribe,Atacante,44,0,0,0,0,0.0,0.0,0.0,0.0,2,1,8,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,1,0,0.0,2.05,0.0,0.0,0.0,27.7,0,0,0.03,0.0,0.0,11,24,45.8,137,44,7,10,70.0,3,8,37.5,0,5,0.0,0.0,0.0,0,0,0,0,16,8,0,0,0,10,11,1,2.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,32,0,0,9,23,1,32,3,1,33.3,2,66.7,17,139,70,0,1,18,1,3,0,1,0.0
Diego Valdés,Meio-campista,266,0,0,0,0,0.9,0.9,0.2,1.1,9,19,19,0.0,0.0,0.0,0.0,0.0,0.31,0.07,0.38,0.38,6,1,16.7,2.03,0.34,0.0,0.0,15.8,1,0,0.15,-0.9,-0.9,149,181,82.3,2599,571,63,69,91.3,67,74,90.5,13,23,56.5,0.9,-0.2,4,16,5,0,160,19,7,0,2,13,149,6,2.03,3,2,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,2,0,208,3,19,111,80,9,208,6,4,66.7,2,33.3,139,776,352,5,3,169,7,9,1,2,33.3
Diego Valoyes,Atacante,335,1,0,1,1,1.8,1.8,0.3,2.0,13,8,24,0.27,0.0,0.27,0.27,0.27,0.47,0.07,0.55,0.55,10,2,20.0,2.69,0.54,0.1,0.5,13.5,0,0,0.18,-0.8,-0.8,53,84,63.1,792,282,29,37,78.4,16,28,57.1,5,10,50.0,0.5,-0.3,3,5,3,1,82,1,0,0,0,13,53,6,1.61,4,0,1,1,0,0,1,0.27,0,0,0,1,0,0,3,2,1,0,2,1,2,50.0,1,5,1,4,1,4,0,0,139,3,19,62,64,16,139,16,7,43.8,9,56.3,87,601,287,8,4,100,7,16,5,5,50.0
William Vargas,Defensor,48,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,11,15,73.3,192,106,6,6,100.0,4,4,100.0,1,4,25.0,0.0,0.0,0,3,0,0,12,3,0,0,0,0,11,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,1,0,21,2,7,7,8,0,21,2,1,50.0,0,0.0,10,27,7,1,0,12,2,1,2,0,100.0
Brandon Vazquez,Atacante,463,3,1,4,2,4.6,3.8,1.4,5.3,7,3,26,0.58,0.19,0.78,0.39,0.58,0.9,0.28,1.17,1.02,18,7,38.9,3.5,1.36,0.11,0.29,13.6,0,1,0.22,-1.6,-1.8,65,90,72.2,1039,87,40,45,88.9,18,28,64.3,6,8,75.0,0.8,-0.4,6,0,2,1,82,8,0,1,1,3,65,13,2.53,6,0,3,3,1,0,2,0.39,0,0,1,0,1,0,1,1,0,1,0,0,2,0.0,2,1,0,1,3,4,4,0,147,4,9,59,82,23,146,11,6,54.5,5,45.5,94,516,212,7,3,116,11,10,11,11,50.0
Brayton Vázquez,Defensor,293,0,0,0,0,0.0,0.0,0.0,0.0,3,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,90,127,70.9,1910,966,26,30,86.7,44,56,78.6,18,34,52.9,0.0,0.0,0,16,0,0,120,6,1,0,2,3,90,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,2,0,0,1,3,33.3,2,1,1,0,6,8,15,0,160,18,83,73,8,0,160,1,1,100.0,0,0.0,66,343,176,4,0,84,2,12,7,4,63.6
Miguel Vázquez,Defensor,26,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,24,24,100.0,413,71,7,7,100.0,17,17,100.0,0,0,0.0,0.0,0.0,0,1,0,0,24,0,0,0,0,0,24,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,25,1,11,14,0,0,25,0,0,0.0,0,0.0,22,106,42,0,0,22,0,2,1,0,100.0
Alexis Vega,Meio-campista,732,2,0,2,1,1.5,0.7,1.4,2.1,29,57,45,0.25,0.0,0.25,0.12,0.12,0.18,0.17,0.35,0.26,18,2,11.1,2.21,0.25,0.06,0.5,25.8,3,1,0.04,0.5,0.3,283,364,77.7,5260,1502,120,136,88.2,123,146,84.2,34,62,54.8,2.0,-1.4,12,34,19,4,321,39,10,0,6,39,283,26,3.2,22,3,1,0,0,0,2,0.25,2,0,0,0,0,0,13,9,4,7,2,6,14,42.9,8,3,0,3,5,18,0,0,450,2,34,207,219,18,449,25,11,44.0,13,52.0,285,1772,831,26,6,330,8,33,4,4,50.0
Jesús Vega,Atacante,204,0,3,3,0,0.0,0.0,1.2,1.2,5,7,17,0.0,1.32,1.32,0.0,1.32,0.02,0.52,0.54,0.54,2,0,0.0,0.88,0.0,0.0,0.0,27.5,0,0,0.02,0.0,0.0,51,73,69.9,899,394,23,25,92.0,19,28,67.9,6,13,46.2,1.0,1.8,4,3,5,2,68,5,1,0,2,12,51,8,3.53,6,1,1,0,0,0,4,1.76,3,0,1,0,0,0,4,4,2,2,0,4,7,57.1,3,2,0,2,0,4,1,0,88,1,8,38,42,5,88,4,3,75.0,1,25.0,50,205,130,2,3,60,0,3,0,1,0.0
Sebastián Vegas,Defensor,467,0,1,1,0,0.0,0.0,0.7,0.7,7,26,11,0.0,0.19,0.19,0.0,0.19,0.0,0.13,0.13,0.13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,223,285,78.2,4155,1979,78,86,90.7,123,144,85.4,19,47,40.4,0.5,0.3,5,24,9,5,245,39,5,0,2,7,223,6,1.16,6,0,0,0,0,0,1,0.19,1,0,0,0,0,0,11,9,5,5,1,7,12,58.3,5,2,1,1,6,17,17,0,329,28,135,157,40,0,329,1,0,0.0,1,100.0,192,876,359,4,0,206,3,20,4,8,33.3
Kevin Velasco,Meio-campista,200,0,0,0,0,0.1,0.1,0.7,0.8,6,5,14,0.0,0.0,0.0,0.0,0.0,0.04,0.32,0.36,0.36,3,2,66.7,1.35,0.9,0.0,0.0,25.2,0,0,0.03,-0.1,-0.1,39,60,65.0,713,229,19,26,73.1,15,20,75.0,5,10,50.0,0.2,-0.7,8,4,6,4,53,6,1,2,1,11,39,9,4.05,8,0,0,1,0,0,1,0.45,0,0,0,1,0,0,4,4,3,1,0,2,4,50.0,2,4,0,4,0,4,0,0,82,0,8,33,43,3,82,4,2,50.0,2,50.0,47,351,194,4,3,54,1,8,1,4,20.0
Jesús Venegas,Meio-campista,355,1,1,2,1,0.6,0.6,0.1,0.7,1,13,6,0.25,0.25,0.51,0.25,0.51,0.16,0.01,0.17,0.17,6,1,16.7,1.52,0.25,0.17,1.0,21.4,0,0,0.1,0.4,0.4,82,111,73.9,1658,552,28,36,77.8,40,51,78.4,13,22,59.1,0.1,0.9,2,10,0,0,106,5,3,0,1,0,82,4,1.01,3,0,0,0,0,1,2,0.51,2,0,0,0,0,0,5,3,2,2,1,2,6,33.3,4,4,1,3,4,9,3,0,146,8,42,80,25,4,146,4,3,75.0,1,25.0,73,301,98,1,0,81,3,11,4,5,44.4
Fran Villalba,Atacante,372,1,0,1,1,0.8,0.8,0.2,1.0,7,14,11,0.24,0.0,0.24,0.24,0.24,0.2,0.05,0.25,0.25,2,1,50.0,0.48,0.24,0.5,1.0,14.0,0,0,0.42,0.2,0.2,102,132,77.3,1694,410,52,59,88.1,37,48,77.1,11,22,50.0,0.3,-0.2,6,13,5,1,130,2,1,1,1,5,102,10,2.42,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,3,0,3,3,3,5,0,163,4,28,100,36,4,163,6,2,33.3,4,66.7,115,651,253,6,0,130,4,15,0,3,0.0
Dieter Villalpando,Meio-campista,801,0,0,0,0,0.3,0.3,1.1,1.4,19,67,49,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.16,0.16,10,1,10.0,1.12,0.11,0.0,0.0,24.7,1,0,0.03,-0.3,-0.3,312,395,79.0,6020,1799,123,138,89.1,131,151,86.8,49,84,58.3,0.9,-1.1,14,51,11,2,366,27,17,1,10,26,312,26,2.93,20,1,2,2,1,0,0,0.0,0,0,0,0,0,0,10,8,3,4,3,3,10,30.0,7,11,1,10,2,12,2,1,460,4,44,268,155,8,460,19,11,57.9,6,31.6,321,1771,710,24,2,366,14,33,6,3,66.7
Isaías Violante,Atacante,235,3,0,3,3,0.9,0.9,0.1,1.0,8,8,13,1.15,0.0,1.15,1.15,1.15,0.35,0.02,0.37,0.37,7,3,42.9,2.68,1.15,0.43,1.0,13.7,0,0,0.13,2.1,2.1,51,64,79.7,902,180,24,29,82.8,19,23,82.6,6,7,85.7,0.1,-0.1,2,4,2,0,64,0,0,0,1,2,51,8,3.06,5,0,1,0,2,0,2,0.77,1,0,1,0,0,0,4,4,1,2,1,4,8,50.0,4,0,0,0,3,7,1,0,88,2,6,43,40,11,88,3,3,100.0,0,0.0,57,438,189,7,4,68,6,5,3,1,75.0
Vitinho,Atacante,284,1,0,1,1,1.1,1.1,0.1,1.2,16,9,26,0.32,0.0,0.32,0.32,0.32,0.36,0.03,0.39,0.39,17,8,47.1,5.39,2.54,0.06,0.13,20.6,2,0,0.07,-0.1,-0.1,77,92,83.7,1436,207,37,43,86.0,27,29,93.1,11,15,73.3,0.2,-0.1,3,4,4,0,86,6,0,0,4,5,77,12,3.8,5,1,2,2,2,0,1,0.32,0,0,0,0,1,0,2,0,0,0,2,2,3,66.7,1,1,0,1,0,2,0,0,133,0,8,47,80,21,133,16,7,43.8,8,50.0,99,808,467,10,10,97,6,13,0,0,0.0
Facundo Waller,Meio-campista,176,0,0,0,0,0.1,0.1,0.2,0.3,3,13,5,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.14,0.14,3,1,33.3,1.53,0.51,0.0,0.0,33.4,0,0,0.04,-0.1,-0.1,66,82,80.5,1253,348,27,33,81.8,23,24,95.8,11,17,64.7,0.2,-0.2,4,8,1,0,72,10,5,1,1,5,66,8,4.07,5,2,0,1,0,0,0,0.0,0,0,0,0,0,0,5,3,2,2,1,2,2,100.0,0,1,0,1,1,6,1,0,95,2,21,44,33,3,95,2,2,100.0,0,0.0,46,338,213,3,0,54,4,13,1,4,20.0
Édgar Yoel Bárcenas,Meio-campista,800,0,2,2,0,1.4,1.4,2.2,3.6,43,59,72,0.0,0.23,0.23,0.0,0.23,0.15,0.25,0.41,0.41,20,9,45.0,2.25,1.01,0.0,0.0,23.3,1,0,0.07,-1.4,-1.4,357,475,75.2,6494,1886,161,186,86.6,143,171,83.6,46,94,48.9,2.2,-0.2,26,47,14,4,402,68,12,1,2,60,357,48,5.4,34,12,1,1,0,0,3,0.34,1,2,0,0,0,0,16,10,5,10,1,6,10,60.0,4,8,0,8,6,22,4,0,569,2,44,255,283,26,569,16,8,50.0,8,50.0,353,2257,1255,31,11,390,6,52,2,5,28.6
Ángel Zaldívar,Atacante,468,2,0,2,2,1.1,1.1,0.5,1.6,2,5,20,0.38,0.0,0.38,0.38,0.38,0.22,0.1,0.32,0.32,15,7,46.7,2.88,1.35,0.13,0.29,21.3,0,0,0.08,0.9,0.9,67,87,77.0,1064,78,34,44,77.3,28,31,90.3,4,5,80.0,0.8,-0.5,6,2,0,0,67,20,0,0,0,0,67,14,2.69,11,0,0,3,0,0,2,0.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,131,1,5,70,57,20,131,3,0,0.0,3,100.0,68,281,91,4,2,89,3,9,6,17,26.1
Edgar Zaldívar,Defensor,529,0,0,0,0,0.1,0.1,0.2,0.4,4,13,21,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.06,3,2,66.7,0.51,0.34,0.0,0.0,11.4,0,0,0.05,-0.1,-0.1,251,306,82.0,4409,1462,115,127,90.6,104,125,83.2,27,44,61.4,0.2,-0.2,3,16,2,1,245,60,7,0,2,9,251,8,1.36,5,1,0,2,0,0,1,0.17,0,0,0,1,0,0,18,10,9,8,1,7,14,50.0,7,3,2,1,10,28,12,0,367,15,100,184,87,6,367,7,2,28.6,5,71.4,174,661,257,4,1,208,9,24,7,8,46.7
Alejandro Zendejas,Atacante,276,0,1,1,0,0.3,0.3,0.8,1.1,11,16,27,0.0,0.33,0.33,0.0,0.33,0.11,0.26,0.37,0.37,6,3,50.0,1.96,0.98,0.0,0.0,21.0,0,0,0.06,-0.3,-0.3,150,174,86.2,2122,519,83,91,91.2,49,55,89.1,7,12,58.3,1.2,0.2,7,10,9,3,166,7,3,0,0,9,150,15,4.91,14,0,1,0,0,0,3,0.98,3,0,0,0,0,0,5,2,3,2,0,2,4,50.0,2,2,0,2,1,6,1,0,203,0,13,104,89,13,203,5,3,60.0,2,40.0,142,776,399,8,2,163,9,11,2,1,66.7
