Nome do jogador,Posição do jogador,Minutos jogados,Gols sofridos,Gols sofridos por 90 minutos,Chutes a gol sofridos,Defesas,Porcentagem de defesas,Partidas sem gols sofridos,Porcentagem de partidas sem gols sofridos,Pênaltis batidos contra o goleiro,Gols de pênalti convertidos contra o goleiro,Chutes de pênaltis salvos,Chutes de pênaltis perdidos,Porcentagem de defesas em pênaltis,Gols sofridos de tiros diretos,Gols sofridos de escanteio,Probabilidade de Gols Após Chutes Defendidos (PSxG - Gols Esperados Pós Chute),Probabilidade de Gols em Chutes no Alvo (PSxG por Chute no Alvo),Eficiência do Goleiro: Gols Esperados Menos Gols Sofridos (PSxG-GA),Eficiência do Goleiro por 90 Minutos: Gols Esperados Menos Gols Sofridos (PSxG-GA/90),Lançamentos concluídos (maiores que 40 jardas),Lançamentos tentados (maiores que 40 jardas),Porcentagem de lançamentos concluídos (maiores que 40 jardas),Passes Tentados pelo Goleiro (Exceto Tiros de Meta),Lançamentos de Mão Tentados pelo Goleiro,Porcentagem de Passes Lançados (Exceto Tiros de Meta),Comprimento Médio dos Passes (Exceto Tiros de Meta),Tiros de Meta Tentados,Porcentagem de Tiros de Meta Lançados,Comprimento Médio dos Tiros de Meta,Cruzamentos Enfrentados,Cruzamentos Interceptados pelo Goleiro,Porcentagem de Cruzamentos Interceptados pelo Goleiro,Ações Defensivas Fora da Área de Pênalti,Ações Defensivas Fora da Área de Pênalti por 90 Minutos,Distância Média das Ações Defensivas
Gabriel,Goleiro,2204,33,1.35,124,89,79.0,6,24.0,9,7,2,0,22.2,1,2,40.9,0.27,7.9,0.32,87,237,36.7,655,108,26.4,31.7,184,34.8,33.8,353,30,8.5,31,1.27,13.2
Gustavo,Goleiro,2222,38,1.54,123,84,71.5,4,16.0,5,3,2,0,40.0,3,3,40.5,0.3,3.5,0.14,126,285,44.2,447,89,43.4,37.1,221,41.2,35.6,394,18,4.6,10,0.41,11.2
Jandrei,Goleiro,1080,14,1.17,49,36,73.5,4,33.3,1,1,0,0,0.0,0,1,9.2,0.17,-3.8,-0.31,66,163,40.5,358,54,34.1,35.2,98,41.8,38.3,184,12,6.5,5,0.42,11.6
Léo Jardim,Goleiro,2430,37,1.37,143,106,74.1,6,22.2,0,0,0,0,0.0,1,8,43.3,0.31,6.3,0.23,127,317,40.1,484,109,45.0,37.1,226,43.8,39.6,443,24,5.4,6,0.22,10.5
John,Goleiro,2250,21,0.84,96,74,83.3,11,44.0,6,5,1,0,16.7,0,1,28.1,0.24,7.1,0.28,102,270,37.8,709,94,27.5,31.0,158,47.5,39.9,340,21,6.2,30,1.2,15.3
Leonardo Linck,Goleiro,1223,21,1.55,65,44,67.7,1,7.1,0,0,0,0,0.0,1,3,18.5,0.31,-2.5,-0.19,62,145,42.8,276,55,40.2,36.3,78,43.6,41.6,200,10,5.0,10,0.74,11.3
Marcelo Lomba,Goleiro,90,2,2.0,3,1,33.3,0,0.0,0,0,0,0,0.0,0,0,1.0,0.34,-1.0,-0.97,1,4,25.0,18,4,22.2,24.7,7,0.0,13.6,7,1,14.3,0,0.0,8.0
Lucão,Goleiro,541,8,1.33,29,21,72.4,1,20.0,0,0,0,0,0.0,0,1,6.8,0.23,-1.2,-0.2,18,69,26.1,115,25,40.0,35.9,55,41.8,35.5,155,4,2.6,7,1.16,12.9
Agustín Marchesín,Goleiro,1710,21,1.11,84,64,81.0,7,36.8,5,5,0,0,0.0,0,2,22.8,0.23,2.8,0.15,96,273,35.2,392,57,48.5,38.9,148,56.1,42.5,302,20,6.6,11,0.58,11.3
Matheus Mendes,Goleiro,900,18,1.8,55,36,69.1,1,10.0,2,1,1,0,50.0,0,2,22.1,0.37,4.1,0.41,23,58,39.7,214,46,16.8,24.9,71,31.0,25.1,133,9,6.8,14,1.4,15.8
